Instância,GLPK,SA Mean,BKV
RM01,2165,2459.0,2436
RM02,2202,2459.2,2432
RM03,2183,2460.1,2436
RM04,2155,2461.2,2439
RM05,2188,2460.2,2436
RM06,2153,2459.1,2431
RM07,2157,2459.8,2437
RM08,2156,2461.9,2433
RM09,2197,2459.8,2436
RM10,2184,2458.9,2429
RM11,2134,2458.9,2434
RM12,2188,2458.4,2440
